stop_id,difficulty_id,location
1078609,148,Malbork
1078610,142,
1078611,142,Gdańsk Południowy
1078612,142,Gdańsk Wrzeszcz
1078613,142,Gdańsk Wrzeszcz
1078618,142,Bożepole Wielkie
1078620,157,
1078621,157,
1078623,157,Rąbino
1078627,143,
1078652,141,
1078678,30,Stalowa Wola Rozwadów
1078688,142,Warszawa Wawer
1078691,151,
1078692,143,
1078706,142,
1078720,157,Szastarka
1078730,144,Warszawa Zachodnia
1078732,143,
1078757,144,Warszawa Wschodnia
1078777,30,Warszawa Centralna
1078801,141,
1078802,141,
1078804,144,Kutno
1078902,142,
1078903,148,
1078910,153,Gliwice
1078912,153,Katowice
1078914,153,Dąbrowa Górnicza
1078915,153,Warszawa Zachodnia
1078918,142,
1078919,148,
1078921,142,
1078936,142,
1078937,142,Mleczewo
1078970,143,Iława Główna
1078971,141,Redaki
1078973,143,Gdańsk Południowy
1078997,151,
1079000,144,
1079031,151,
1079032,151,
1079056,141,
1079057,141,
1079082,147,
1079083,142,
1079084,142,
1079085,142,Gałkówek
1079090,141,Ozorków
1079092,146,Kutno
1079093,147,Kutno GT 201-214
1079096,147,Toruń Towarowy Trb
1079098,147,Bydgoszcz Leśna
1079102,148,
1079140,142,Iława Główna
1079141,143,
1079149,143,
1079152,143,Montowo
1079162,143,
1079163,143,Susz
1079185,148,
1079204,148,Tczew
1079219,142,Łódź Widzew
1079221,30,
1079227,142,
1079228,142,
1079229,148,
1079235,30,Warszawa Praga PZS R21-46
1079245,143,Olsztynek
1079269,151,
1079275,151,
1079277,141,Łęczyca
1079278,141,Ozorków
1079279,141,
1079296,143,Gdańsk Wrzeszcz
1079356,30,
1079411,142,Redaki
1079412,148,
1079441,143,Sopot
1079447,142,
1079448,148,Ciechanów
1079451,146,Tunel
1079457,143,Tczew
1079458,143,Szymankowo
1079459,143,Mleczewo
1079460,148,Mława
1079463,155,Miechów
1079474,142,Redaki
1079482,143,
1079500,145,
1079501,145,
1079510,145,Warszawa Centralna
1079511,145,Warszawa Centralna
1079513,141,
